No,社名,業務内容,"使用
ソフト",Column1,8月,9月,10月,11月,12月
1,"ISJ
(日本オンサイト)",設備設計,ー,計画,0,50,50,100,100
,,,,実績,,,,,
2,"ISJ
(部品設計)",自動車部品,CATIA,計画,0,50,50,100,100
,,,,実績,,,,,
3,"ISJ
（生産設備)",図面化,ICAD,計画,0,50,50,100,100
,,,,実績,,,,,
4,"GLW
(LM)","電気自動車の
ベースデザイン",CATIA,計画,0,150,150,0,0
,,,,実績,3,74,109,150,446
5,"GLW
(FALTEC)",外装部品設計,CATIA,計画,CATIAトライアル,CATIAトライアル,CATIAトライアル,,
,,,,実績,CATIAトライアル,CATIAトライアル,CATIAトライアル,,
6,"GLW
(河西テクノ)",内装部品設計,CATIA,計画,CATIAトライアル,CATIAトライアル,CATIAトライアル,,
,,,,実績,CATIAトライアル,CATIAトライアル,CATIAトライアル,,
7,テクノハマ,金型データ作成,"NX
CATIA",計画,,,,,
,,,,実績,,,,,
8,"GNN（5P45）
(河西テクノ)",内装部品設計,CATIA,計画,受託検討中,受託検討中,受託検討中,,
,,,,実績,受託検討中,受託検討中,受託検討中,,
9,"GNN（H60E）
(河西テクノ)",内装部品設計,CATIA,計画,受託検討中,受託検討中,受託検討中,,
,,,,実績,受託検討中,受託検討中,受託検討中,,
10,"GNN（L53M）
(河西テクノ)",内装部品設計,CATIA,計画,受託検討中,受託検討中,受託検討中,,
,,,,実績,受託検討中,受託検討中,受託検討中,,
11,"GNN（33FY）
(河西テクノ)",内装部品設計,CATIA,計画,受託検討中,受託検討中,受託検討中,,
,,,,実績,受託検討中,受託検討中,受託検討中,,
12,日泉化学,内装部品設計,CATIA,計画,,,,,
,,,,実績,,,,,
13,"VUTEQ​
インドネシア",内装部品設計,CATIA,計画,,,,,
,,,,実績,,,,,
14,"GNN（W13G）
(河西工業)",内装部品設計,CATIA,計画,,,,,
,,,,実績,,,,,
15,"GNN（W13G）
(河西工業オンサイト)",内装部品設計,CATIA,計画,,,,,
,,,,実績,,,,,
16,啓装工業,生産設備,ICAD,計画,,,,,
,,,,実績,,,,,
