No,社名,業務内容,"使用
ソフト",Column1,7月,8月,9月,10月,11月,12月
1,"ISJ
(日本オンサイト)",設備設計,ー,計画,160 ,120 ,160 ,160 ,160 ,135 
,,,,実績,160 ,154 ,160 ,182 ,80 ,
2,"ISJ
(部品設計)",自動車部品,CATIA,計画,200 ,180 ,200 ,200 ,200 ,180 
,,,,実績,,,,,,
3,"ISJ
（生産設備)",図面化,ICAD,計画,,,,,,
,,,,実績,,,,,,
4,"GLW
(LM)","電気自動車の
ベースデザイン",CATIA,計画,50 ,30 ,50 ,50 ,50 ,30 
,,,,実績,,,,,,
5,"GLW
(FALTEC)",外装部品設計,CATIA,計画,140 ,120 ,140 ,140 ,140 ,120 
,,,,実績,,,,,,
6,"GLW
(河西テクノ)",内装部品設計,CATIA,計画,100 ,80 ,100 ,100 ,100 ,80 
,,,,実績,,,,,,
7,テクノハマ,金型データ作成,"NX
CATIA",計画,100 ,80 ,100 ,100 ,100 ,80 
,,,,実績,,,,,,
8,"GNN（5P45）
(河西テクノ)",内装部品設計,CATIA,計画,100 ,80 ,100 ,100 ,100 ,80 
,,,,実績,,,8 ,15 ,,
9,"GNN（H60E）
(河西テクノ)",内装部品設計,CATIA,計画,-,-,-,-,-,-
,,,,実績,,,,,,
10,"GNN（L53M）
(河西テクノ)",内装部品設計,CATIA,計画,-,-,-,-,-,-
,,,,実績,,78 ,,,,
11,"GNN（33FY）
(河西テクノ)",内装部品設計,CATIA,計画,-,-,-,-,-,-
,,,,実績,,,,43 ,,
12,日泉化学,内装部品設計,CATIA,計画,0 ,0 ,150 ,250 ,150 ,0 
,,,,実績,,,,,,
13,"VUTEQ​
インドネシア",内装部品設計,CATIA,計画,50 ,30 ,50 ,50 ,50 ,30 
,,,,実績,,,,,,
14,"GNN（W13G）
(河西工業)",内装部品設計,CATIA,計画,-,-,30 ,40 ,40 ,20 
,,,,実績,,,,79 ,140 ,
15,"GNN（W13G）
(河西工業オンサイト)",内装部品設計,CATIA,計画,-,-,-,-,-,-
,,,,実績,,,,,40 ,
16,啓装工業,生産設備,ICAD,計画,100 ,80 ,100 ,100 ,100 ,80 
,,,,実績,,,,,,
