OS業務受託見込み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2024 H2,2024 H2,2024 H2,2024 H2,2024 H2,,2025 H1,2025 H1,2025 H1,2025 H1,2025 H1,2025 H1,半期計画,2025 H2,2025 H2,2025 H2,2025 H2,2025 H2,2025 H2,年間計画,,,,,,,,,,
No,社名,業務内容,"使用
ソフト",,8月,9月,10月,11月,12月,Total/Pj,1月,2月,3月,4月,5月,6月,Total/Pj,7月,8月,9月,10月,11月,12月,Total/Pj,売上金額(円),,,,,,,,,
1,"ISJ
(日本オンサイト)",設備設計,ー,計画,0,50,50,100,100,300,130 ,160 ,160 ,160 ,105 ,160 ,875 ,160 ,120 ,160 ,160 ,160 ,135 ,1770 ,"¥5,310,000",,,,,,,,,
,,,,実績,,,,,,,80 ,152 ,160 ,152 ,161 ,171 ,876 ,160 ,154 ,160 ,182 ,80 ,,1611 ,"¥4,832,250",,,,,,,,,
2,"ISJ
(部品設計)",自動車部品,CATIA,計画,0,50,50,100,100,300,120 ,150 ,150 ,150 ,100 ,150 ,820 ,200 ,180 ,200 ,200 ,200 ,180 ,1980 ,"¥5,940,000",,,,,,,,,
,,,,実績,,,,,,,32 ,56 ,-,-,,,88 ,,,,,,,88 ,"¥264,000",,,,,,,,,
3,"ISJ
（生産設備)",図面化,ICAD,計画,0,50,50,100,100,300,100 ,100 ,100 ,100 ,80 ,100 ,580 ,,,,,,,580 ,"¥1,160,000",,,,,,,,,
,,,,実績,,,,,,,8 ,-,8 ,-,,,16 ,,,,,,,16 ,"¥32,000",,,,,,,,,
4,"GLW
(LM)","電気自動車の
ベースデザイン",CATIA,計画,0,150,150,0,0,300,0 ,50 ,50 ,50 ,50 ,50 ,250 ,50 ,30 ,50 ,50 ,50 ,30 ,510 ,"¥1,173,000",,,,,,,,,
,,,,実績,3,74,109,150,446,,-,-,-,-,,,0 ,,,,,,,0 ,¥0,,,,,,,,,
5,"GLW
(FALTEC)",外装部品設計,CATIA,計画,CATIAトライアル,CATIAトライアル,CATIAトライアル,,,,100 ,100 ,140 ,140 ,120 ,140 ,740 ,140 ,120 ,140 ,140 ,140 ,120 ,1540 ,"¥3,542,000",,,,,,,,,
,,,,実績,CATIAトライアル,CATIAトライアル,CATIAトライアル,,,,-,-,-,-,,,0 ,,,,,,,0 ,¥0,,,,,,,,,
6,"GLW
(河西テクノ)",内装部品設計,CATIA,計画,CATIAトライアル,CATIAトライアル,CATIAトライアル,,,,100 ,100 ,100 ,100 ,80 ,100 ,580 ,100 ,80 ,100 ,100 ,100 ,80 ,1140 ,"¥2,622,000",,,,,,,,,
,,,,実績,CATIAトライアル,CATIAトライアル,CATIAトライアル,,,,-,-,-,-,,,0 ,,,,,,,0 ,¥0,,,,,,,,,
7,テクノハマ,金型データ作成,"NX
CATIA",計画,,,,,,,-,-,-,100 ,80 ,100 ,280 ,100 ,80 ,100 ,100 ,100 ,80 ,840 ,"¥2,100,000",,,,,,,,,
,,,,実績,,,,,,,-,-,-,-,3 ,,3 ,,,,,,,3 ,"¥7,500",,,,,,,,,
8,"GNN（5P45）
(河西テクノ)",内装部品設計,CATIA,計画,受託検討中,受託検討中,受託検討中,,,,100 ,100 ,100 ,100 ,80 ,100 ,580 ,100 ,80 ,100 ,100 ,100 ,80 ,1140 ,"¥2,850,000",,,,,,,,,
